"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This will create a user","SUCCESS","2023-06-06T08:36:40.032+01:00[Europe/London]","0.0","4.54"
"User CRUD test","Verify if the user was added to the application","SUCCESS","2023-06-06T08:36:44.595+01:00[Europe/London]","0.0","0.74"
"User CRUD test","Update the user information and verify the updated information","SUCCESS","2023-06-06T08:36:45.336+01:00[Europe/London]","0.0","1.54"
"User CRUD test","A4","SUCCESS","2023-06-06T08:36:46.875+01:00[Europe/London]","0.0","1.53"
